,date,sentiment_score,weighted_sentiment,total_likes,tweet_count
144,2012-11-28,0.6474,691.4232,1068.0,1
145,2012-11-29,0.4926,17.7336,36.0,1
146,2012-12-02,0.2481,85.84259999999999,346.0,1
147,2012-12-04,0.8834,286.22159999999997,324.0,1
148,2012-12-05,0.3182,36.592999999999996,115.0,1
149,2012-12-09,0.28535,37.0955,195.0,2
150,2012-12-11,0.75,70.5,94.0,1
151,2012-12-12,0.04280000000000001,34.9412,285.0,7
152,2012-12-14,-0.09305999999999999,-12.219799999999998,149.0,5
153,2012-12-17,0.5994,110.28960000000001,184.0,1
154,2012-12-19,0.83045,99.6669,117.0,2
155,2012-12-24,-0.074,-55.056,1675.0,4
156,2012-12-25,0.5898,54.9714,76.0,2
157,2012-12-29,-0.34430000000000005,-41.915800000000004,124.0,2
158,2013-01-04,0.41825,78.5918,198.0,2
159,2013-01-10,0.32095,57.1291,142.0,2
160,2013-01-15,0.3612,38.6484,107.0,1
161,2013-01-18,0.8625,181.125,210.0,1
162,2013-01-26,0.6597,65.3103,99.0,1
163,2013-01-30,0.0,0.0,154.0,1
164,2013-02-04,0.2749,15.957400000000007,1166.0,3
165,2013-02-08,-0.2232333333333333,-34.8244,168.0,3
166,2013-02-09,-0.4389,-50.9124,116.0,1
167,2013-02-10,0.0,0.0,92.0,1
168,2013-02-11,0.3784166666666666,72.4765,603.0,6
169,2013-02-14,0.0,0.0,82.0,1
170,2013-02-15,0.1909,16.417399999999997,72.0,2
171,2013-02-16,-0.3818,-61.46979999999999,161.0,1
172,2013-02-18,0.8591,37.800399999999996,44.0,1
173,2013-02-19,0.69,49.67999999999999,72.0,1
174,2013-02-23,0.807,17.754,22.0,1
175,2013-02-25,0.9081,9.081,10.0,1
176,2013-02-26,0.128,20.992,164.0,1
177,2013-02-27,0.11866666666666666,0.3607999999999998,154.0,3
178,2013-03-01,0.25078,666.3833,1866.0,15
179,2013-03-02,0.0,0.0,130.0,1
180,2013-03-06,0.3612,37.926,105.0,1
181,2013-03-08,0.20783333333333334,298.53000000000003,783.0,9
182,2013-03-09,-0.41035,-108.2438,253.0,2
183,2013-03-10,0.0,0.0,570.0,2
184,2013-03-17,0.38430000000000003,-14.261099999999999,55.0,3
185,2013-03-19,0.4215,63.224999999999994,150.0,1
186,2013-03-20,0.2005,11.228000000000002,646.0,4
187,2013-03-23,0.47414615384615383,299.6856,673.0,13
188,2013-03-24,0.148,2.6639999999999997,21.0,2
189,2013-03-25,-0.014866666666666658,305.4819,783.0,3
190,2013-03-26,0.1048,66.1227,508.0,7
191,2013-03-29,-0.01416666666666668,57.332499999999996,335.0,3
